schema,table,row_count
public,SequelizeMeta,76
public,ad_relationships,4
public,aircraft,1
public,aircraft_compliance,0
public,aircraft_component_installations,4
public,aircraft_components,0
public,aircraft_sb_compliance,0
public,aircraft_sid_status,0
public,airworthiness_directives,46
public,audit_log,8
public,cessna_sids,0
public,compliance_assignments,9
public,compliance_items,9
public,component_life_limits,0
public,component_models,177
public,customer_aircraft_links,1
public,customer_users,0
public,customers,1
public,maintenance_requirements,8
public,maintenance_template_items,0
public,maintenance_templates,0
public,manufacturers,7
public,migration_batch_rows,1
public,migration_batches,3
public,migration_created_targets,1
public,model_sids,0
public,planning_sessions,0
public,rf_aircraft_category,2
public,rf_asset_type,30
public,rf_component_categories,0
public,rf_component_condition,3
public,rf_permission,4
public,rf_role,7
public,rf_role_permissions,0
public,rf_signoff_role,3
public,rf_task_state,4
public,rf_workpack_status,6
public,rf_workpack_type,1
public,sb_model_applicability_allocations,1741
public,serialized_component_life_states,1
public,serialized_component_maintenance_events,32
public,serialized_components,4
public,service_bulletin_models,2332
public,service_bulletins,1630
public,sessions,1
public,sid_model_applicability,1
public,supplemental_inspection_documents,1
public,task_cards,0
public,task_templates,1
public,user_roles,15
public,users,9
public,workpack_audit_log,0
public,workpack_compliance,0
public,workpack_executions,0
public,workpack_measurements,0
public,workpack_requirements,0
public,workpack_signatures,0
public,workpack_snag_audit_log,0
public,workpack_snags,0
public,workpack_sources,0
public,workpack_tasks,0
public,workpacks,1
