Pub No.,Pub Name,Date,Compliance,Title Description
SEB-24-06,Electrical Power - Alternator Control Unit (ACU) ,07/08/2024,24,Optional,Electrical Power - Alternator Control Unit (ACU) And Connector Obsolescence      ,
SEL-61-01,Propeller - Propeller Governor Inspection In Acco,11/16/2018,61,Mandatory,Propeller - Propeller Governor Inspection In Accordance with McCauley ASB273,
SEL-99-01,Incremental Library Updates For Cesview,01/29/2016,,Informational,Incremental Library Updates For Cesview,
SEL-29-01-R01,Hydraulic Power Pack Inspection,10/03/2012,,Mandatory,Hydraulic Power Pack Inspection,
SNL11-29,Cessna Service Document Change Notification,11/22/2011,,Informational,Cessna Service Document Change Notification,
SNL06-17,New ELT Placards,12/18/2006,11,Informational,The purpose of this Service Newsletter is to provide notification that new ELT placards are available. The new placards have been updated to state the current FAA regulation  for servicing the ELT.  FAA Regulation 91.52 no longer exists, and has been superseded by 14 CFR Part 91.207.,
SEB06-2,Engine Crankshaft Retirement,03/27/2006,72,Mandatory,Service Bulletin SEB06-2 has been issued to transmit Lycoming Mandatory Service Bulletin No. 569: Crankshaft Retirement For Certain Lycoming Engines.  According to Lycoming; Lycoming has continued to analyze crankshafts in service. While there have been no failures in the crankshafts, which are the subject of Lycoming Mandatory Service Bulletin No. 569, as part of Lycomings' commitment to quality, they are initiating a crankshaft retirement program. This crankshaft retirement program requires the removal of the subject crankshafts when the crankcase is separated or at overhaul, whichever occurs first, not to exceed February 21, 2009.,
SEB05-6,Vacuum Pump Inspection/Replacement,10/31/2005,37,Mandatory,To transmit Tempest Mandatory Service Bulletin Number SB-003: Vacuum Pump Replacement.,
SEB99-13,Oxygen Gage Support Modification,09/13/1999,35,Optional,To Announce Availability Of A Service Kit For Oxygen Gage,
SEB92-21R1,Lycoming Proc. To Determine Exhaust Valve & Guide,06/01/1999,72,Mandatory,Transmit Textron Lycoming Mandatory Service Bulletin 388B,
SNL98-12,Year 2000 Calendar Preparation,12/21/1998,,Informational,Year 2000 Calendar Preparation,
SNL98-07,Approved Nondestructive Testing Facilities,06/29/1998,05,Informational,This Service Newsletter Supersedes SNL95-8,
SEB98-01,Magneto Distributor Gear Maintenance,02/02/1998,74,Mandatory,Transmit Textron Lycoming Mandatory Service Bulletin No. 528,
SEB96-15,S51-10 Hose Inspection/replacement,10/18/1996,28,Mandatory,S51-10 Hose Shipped From CPD 3/28/95-6/28/96 May Deteriorate,
SEB96-10,Vacuum Hose Replacement,06/07/1996,37,Mandatory,Remove Vacuum Hoses Fabricated From S2501 Material,
SEB96-02,Seat Belt & Shoulder Harness Connection Inspec.,03/29/1996,25,Mandatory,To Obtain Proper Shoulder Harness/seat Belt Connection,
AQK182-017,Firewall Forward Engine Hose Kit,07/13/1995,,Not Applicable,Firewall Forward Engine Hose Kit ,
SEB95-06,Engine Rubber Fuel Hose Inspection & Replacement,03/24/1995,73,Mandatory,Replace Aeropquip 601 Type Hose With Teflon Type Fuel Hose,
SEB94-07R1,Dukes Auxiliary Fuel Boost Pump Overhaul Interval,11/23/1994,28,Mandatory,Revise Compliance Section Per Dukes Mandatory Bull. 0003,
SEB94-15,Fuel Quantity Gauge And Transmitter Replacement,07/15/1994,28,Recommended,Replace Stewart Warner Components With Rochester Components,
SEB94-18,Improved Retaining Method For Carburetor Mixture ,07/15/1994,76,Mandatory,Transmit Precision Airmotive Corp. Mandatory Bulletin MSA-6,
SNL94-04,Cessna Service Information For Propeller Models,04/29/1994,98,Informational,Types Of Service Information Being Issued By Cessna,
SE84-16R2,Fuel Filler Diameter Mod & External Turbo Placard,09/04/1992,28,Recommended,This Service Letter Is Superseded By SEB92-27,
SNL91-05,Temporary Revisions To Maintenance Manuals & Part,12/13/1991,98,Informational,Temporary Revisions For Paper & Aerofiche In Paper Form Only,
SEB88-01,Upper Strut Cuff Seal Installation,02/26/1988,57,Recommended,Install Seal At Intersection Of Strut And Upper Strut Cuff,
SEB86-05R1,Special 'Seat Locked & Fuel Contamination' Warn,08/28/1987,11,Mandatory,Placards Sent To All Registered Owners,
SEB86-09R1,Avco Lycoming Engine Rocker Arm Inspection/Rework,05/15/1987,72,Mandatory,Avco Lycoming Service Bulletin No. 477A,
